pos1,pos2,count_pos1,count_pos2,total_pair,chi2_stat,p_value,bonferroni_corrected_alpha,significant_after_bonferroni
A,B,291,64,355,145.15211267605633,1.9893237206536707e-33,0.008333333333333333,True
A,C,291,645,936,133.8846153846154,5.79047966722506e-31,0.008333333333333333,True
A,D,291,84,375,114.264,1.1406489028967737e-26,0.008333333333333333,True
B,C,64,645,709,476.10860366713683,1.5014467445617586e-105,0.008333333333333333,True
B,D,64,84,148,2.7027027027027026,0.10017829422626791,0.008333333333333333,False
C,D,645,84,729,431.71604938271605,6.876884873079702e-96,0.008333333333333333,True
