pos1,pos2,count_pos1,count_pos2,total_pair,chi2_stat,p_value,bonferroni_corrected_alpha,significant_after_bonferroni
A,B,486,197,683,122.28550512445095,1.9989911963051619e-28,0.008333333333333333,True
A,C,486,208,694,111.36023054755043,4.9339208993751426e-26,0.008333333333333333,True
A,D,486,193,679,126.43446244477173,2.4702625747746617e-29,0.008333333333333333,True
B,C,197,208,405,0.29876543209876544,0.5846574210119372,0.008333333333333333,False
B,D,197,193,390,0.041025641025641026,0.8394884363242654,0.008333333333333333,False
C,D,208,193,401,0.5610972568578554,0.45381847867903824,0.008333333333333333,False
