pos1,pos2,count_pos1,count_pos2,total_pair,chi2_stat,p_value,bonferroni_corrected_alpha,significant_after_bonferroni
A,B,225,268,493,3.7505070993914806,0.052791493145342115,0.008333333333333333,False
A,C,225,410,635,53.89763779527559,2.1121148345305981e-13,0.008333333333333333,True
A,D,225,180,405,5.0,0.025347318677468325,0.008333333333333333,False
B,C,268,410,678,29.74041297935103,4.939429685883561e-08,0.008333333333333333,True
B,D,268,180,448,17.285714285714285,3.2159555632006816e-05,0.008333333333333333,True
C,D,410,180,590,89.66101694915254,2.8267031718394426e-21,0.008333333333333333,True
