pos1,pos2,count_pos1,count_pos2,total_pair,chi2_stat,p_value,bonferroni_corrected_alpha,significant_after_bonferroni
A,B,167,263,430,21.432558139534883,3.664946949376004e-06,0.008333333333333333,True
A,C,167,325,492,50.739837398373986,1.0545719647919157e-12,0.008333333333333333,True
A,D,167,329,496,52.91129032258065,3.4895790649135616e-13,0.008333333333333333,True
B,C,263,325,588,6.537414965986395,0.010562872887388603,0.008333333333333333,False
B,D,263,329,592,7.358108108108108,0.006676100138392432,0.008333333333333333,True
C,D,325,329,654,0.024464831804281346,0.8757079814961591,0.008333333333333333,False
