pos1,pos2,count_pos1,count_pos2,total_pair,chi2_stat,p_value,bonferroni_corrected_alpha,significant_after_bonferroni
A,B,343,289,632,4.613924050632911,0.03171338469103493,0.008333333333333333,False
A,C,343,235,578,20.17993079584775,7.04885990558102e-06,0.008333333333333333,True
A,D,343,217,560,28.35,1.0124680430655784e-07,0.008333333333333333,True
B,C,289,235,524,5.564885496183206,0.01832420870978581,0.008333333333333333,False
B,D,289,217,506,10.245059288537549,0.0013705117945883262,0.008333333333333333,True
C,D,235,217,452,0.7168141592920354,0.39719091509494653,0.008333333333333333,False
